SOURCE,DESTINATION,TIME:IN,TIME:OUT,DISTANCE,WALKING_DISTANCE,DAY_OFF,OPENING_DAYS,PLACE_FARE,SPECIALITY,RATING
HAZRAT NIZAMUDDIN RAILWAY STATION,HUMAYUN'S TOMB,7:00 AM,5:00 PM,2.5,10 MINS,,7,INR 35,ENTERTAINMENT,4
HAZRAT NIZAMUDDIN RAILWAY STATION,WASTE TO WONDER PARK,11:00 AM,11:00 PM,2.5,12 MINS,MONDAY,6,INR 50,ENTERTAINMENT,5
HAZRAT NIZAMUDDIN RAILWAY STATION,LOTUS TEMPLE ,8:00 AM,5:00 PM,6.6,21 MINS,MONDAY,6,INR 0,ENTERTAINMENT,4
HAZRAT NIZAMUDDIN RAILWAY STATION,NATIONAL ZOOLOGICAL PARK,8:00 AM,4:30 PM,5.4,15 MINS,FRIDAY,6,INR 400,ENTERTAINMENT,5
HAZRAT NIZAMUDDIN RAILWAY STATION,INDIA GATE ,9:00 AM,9:00 PM,8,60 MINS,,7,INR 0,ENTERTAINMENT,4
HAZRAT NIZAMUDDIN RAILWAY STATION,PURANA QILA ,2:00 AM,6:00 AM,7,30 MINS ,,7,INR 300,ENTERTAINMENT,5
HAZRAT NIZAMUDDIN RAILWAY STATION,PRAGATI MAIDAN,8:00 AM,5:00 AM,7.4,18 MINS ,,7,INR 150,ENTERTAINMENT,4
HAZRAT NIZAMUDDIN RAILWAY STATION,KARIM'S,8:00 PM,2:00 AM,3,15 MINS,,7,INR 500,FOOD,5
HAZRAT NIZAMUDDIN RAILWAY STATION,GHALIB KABAB CORNER ,8:00 PM,2:00 AM,3,15 MINS ,,7,INR 400,FOOD,5
HAZRAT NIZAMUDDIN RAILWAY STATION,KUREMAL MOHAN LAL KULFI WALE,12:00 PM,12:00 AM,3,15 MINS,,7,INR  200,FOOD,5
HAZRAT NIZAMUDDIN RAILWAY STATION,BHUKKAD ADDA INDIA,10:00 AM,11:00 PM,1,5 MINS,,7,INR 400,FOOD,5
HAZRAT NIZAMUDDIN RAILWAY STATION,SGF RESTAURANT,12:00 PM,2:00 AM,1,5 MINS,,7,INR 400,FOOD,4
HAZRAT NIZAMUDDIN RAILWAY STATION,SHOOTERS BAR,11:00 AM,1:00 AM,1,5 MINS,,7,INR 1500,FUN,4
NEW DELHI RAILWAY STATION ,JANTAR MANTAR,9:00 AM,6:00 PM,6 KM,23 MINS,,7,INR 200,ENTERTAINMENT,4
NEW DELHI RAILWAY STATION ,INDIA GATE ,9:00 AM,9:00 PM,8 KM,60 MINS,,7,INR 0,ENTERTAINMENT,5
NEW DELHI RAILWAY STATION ,PURANA QILA ,8:00 AM,5:00 PM,9 KM,75 MINS,,7,INR 300,ENTERTAINMENT,4
NEW DELHI RAILWAY STATION ,RED FORT,9:00 AM,6:00 PM,5 KM,12 MINS,,7,INR 250,ENTERTAINMENT,5
NEW DELHI RAILWAY STATION ,NATIONAL RAIL MUSEUM,10:00 AM,4:00 PM,12 KM,90 MINS,MONDAY,6,INR 50,ENTERTAINMENT,4
NEW DELHI RAILWAY STATION ,PEHALWAN DA HOTEL,               10:30AM,                      11:30PM,5 KM,12 MINS,TUESDAY,6,INR 400,FOOD,5
NEW DELHI RAILWAY STATION ,JANTA SOUTH INDIAN RESTAURANT,7:00 AM,11:00 PM,5 KM,12 MINS,,7,INR 200,FOOD,4
NEW DELHI RAILWAY STATION ,HALDIRAM'S,7:00 AM,11:00 PM,5 KM,12 MINS,,7,INR 400,FOOD,5
NEW DELHI RAILWAY STATION ,SAI KI RASOI,8:00 AM,11:30 PM,5 KM,12 MINS,,7,INR 200,FOOD,4
NEW DELHI RAILWAY STATION ,RSVP ,9:00 PM,3:00 AM,8 KM,60 MINS,MONDAY,6,INR 1500,FUN,4
NEW DELHI RAILWAY STATION ,KITTY SU,10:00 PM,1:00 AM,6.5 KM,25 MINS,"MONDAY,TUESDAY",5,INR 1500,FUN,5
NEW DELHI RAILWAY STATION ,BHULI BHATIYARI KA MAHAL,7:00 AM,5:00 PM,5 KM,12 MINS,,7,INR 0,ENTERTAINMENT,4
NEW DELHI RAILWAY STATION ,UGRASEN KI BAOLI ,9:00 AM,5:00 PM,7 KM,45 MINS,,7,INR 0,ENTERTAINMENT,5
NEW DELHI RAILWAY STATION ,CHARKHA MUSEUM,10:00 AM,9:00 PM,6 KM,23 MINS,,7,INR 0,ENTERTAINMENT,5
ANAND VIHAR RAILWAY STATION,BAHUBALI PARK,5:00 AM,10:00 PM,10 KM,80 MINS,,7,INR 0,ENTERTAINMENT,5
ANAND VIHAR RAILWAY STATION,AMILAL PARK,12:00 AM,11:59 PM,11 KM,85 MINS,,7,INR 0,ENTERTAINMENT,4
ANAND VIHAR RAILWAY STATION,LOTUS TEMPLE ,8:00 AM,5:00 PM,15 KM,120 MINS,MONDAY,6,INR 0,ENTERTAINMENT,4
ANAND VIHAR RAILWAY STATION,KALE KHAN KA MAKBARA,12:00 AM,12:00 PM,12.8 KM,90 MINS,,7,INR 0,ENTERTAINMENT,5
ANAND VIHAR RAILWAY STATION,OKHALA BIRD CENTURY,7:00 AM,5:00 PM,17.3 KM,130 MINS,,7,INR 350,ENTERTAINMENT,4
ANAND VIHAR RAILWAY STATION,PUSHPANJALI PARK,7:00 AM,7:00 PM,10.6 KM,82 MINS,,7,INR 0,ENTERTAINMENT,5
ANAND VIHAR RAILWAY STATION,MISTERY OF DAARU,11:00 AM,1:00 AM,17 KM,200 MINS,,7,INR 2000,FUN,4
ANAND VIHAR RAILWAY STATION,SHRI RADHA MADHAV,8:30 AM,10:30 PM,11 KM,85 MINS,,7,INR 500,FOOD,5
ANAND VIHAR RAILWAY STATION,KHUSHI RESTAURANT,11:00 AM,11:00 AM,11 KM,85 MINS,,7,INR 200,FOOD,5
ANAND VIHAR RAILWAY STATION,KITCHEN ANAND ,11:00 AM,11:00 PM,1 KM,5 MINS,,7,INR 350,FOOD,5
ANAND VIHAR RAILWAY STATION,RAILWARD YARD TO MIDNIGHT CAFÉ,7:00 PM,4:00 AM,2 KM,10 MINS,,7,INR 500,FOOD,4
ANAND VIHAR RAILWAY STATION,ANNAM DOSA CORNER,9:00 AM,10:00 PM,1 KM,5 MINS,,7,INR 200,FOOD,5
ANAND VIHAR RAILWAY STATION,HUDSON CHOPSTICKS,12:00 PM,12:00 AM,2 KM,10 MINS,,7,INR 400,FOOD,4
ANAND VIHAR RAILWAY STATION,CAFÉ WINK,8:00 AM,11:00 PM,6.5 KM,25 MINS,,7,INR 300,FUN,5
DELHI CANTT RAILWAY STATION,BUDDA GARDEN,6:00 AM,8:00 PM,1 KM,5 MINS,,7,INR 0,ENTERTAINMENT,4
DELHI CANTT RAILWAY STATION,PEER GHAIB,8:00 AM,5:00 PM,1 KM,5 MINS,,7,INR 0,ENTERTAINMENT,5
DELHI CANTT RAILWAY STATION,PURANA QILA ,8:00 AM,5:00 PM,9 KM,75 MINS,,7,INR 300,ENTERTAINMENT,4
DELHI CANTT RAILWAY STATION,RED FORT,9:00 AM,6:00 PM,5 KM,25 MINS,,7,INR 250,ENTERTAINMENT,5
DELHI CANTT RAILWAY STATION,KHAS MAHAL,9:00 AM,                    5:OO PM,5 KM,25 MINS,,7,INR 600,ENTERTAINMENT,4
DELHI CANTT RAILWAY STATION,INDIA GATE ,9:00 AM,9:00 PM,8 KM,60 MINS,,7,INR 0,ENTERTAINMENT,5
DELHI CANTT RAILWAY STATION,DIWAN-I-AAM,9:00 AM,5:00 PM,5 KM,25 MINS,MONDAY,6,INR 0,ENTERTAINMENT,4
DELHI CANTT RAILWAY STATION,MUMTAZ MAHAL,9:00 AM,5:00 PM,5 KM,25 MINS,MONDAY,6,INR 0,ENTERTAINMENT,5
DELHI CANTT RAILWAY STATION,JAMA MAZID,7:00 AM,7:00 PM,5 KM,25 MINS,,7,INR 0,ENTERTAINMENT,5
DELHI CANTT RAILWAY STATION,TURNING POINT RESTAURANT,11:00 AM,11:00 PM,12 KM,90 MINS,,7,INR 400,FOOD,5
DELHI CANTT RAILWAY STATION,PEPPER HOUSE,12:00 PM,10:00 PM,11 KM,85 MINS,THURSDAY,6,INR 500,FOOD,4
DELHI CANTT RAILWAY STATION,CAFETERIA BHDC NEW COMPLEX,8:00 AM,2:30 PM,12 KM,90 MINS,SUNDAY,6,INR 500,FOOD,5
DELHI CANTT RAILWAY STATION,THE MASALA CHOWK,4:00 PM,10:00 PM,13 KM,95 MINS,,7,INR 200,FOOD,5
DELHI CANTT RAILWAY STATION,PLAY GUE CLUB & LOUNGE,1:00 PM,1:00 AM,10 KM,80 MINS,,7,INR 3000,FUN,5
DELHI CANTT RAILWAY STATION,KAANCH CLUB,11:00 AM,2:00 PM,5 KM,25 MINS,,7,INR 2000,FUN,5
DELHI CANTT RAILWAY STATION,HAMMER CLUB AND LOUNGE,11:00 AM,1:30 AM,9 KM,75 MINS,,7,INR 2000,FUN,5
SARAI ROHILLA RAILWAY STATION,NEHRU MUSEUM AND PLANETARIUM,11:00 AM,5:00 PM,7 KM,55 MINS,,7,INR 3000,ENTERTAINMENT,5
SARAI ROHILLA RAILWAY STATION,BHULI BHATIYARI KA MAHAL,11:00 AM,5:00 PM,4 KM,20 MINS,,7,INR 0,ENTERTAINMENT,4
SARAI ROHILLA RAILWAY STATION,GANDHI MEMORIAL HALL,11:00 AM,5:00 PM,7 KM,55 MINS,,7,INR 3000,ENTERTAINMENT,5
SARAI ROHILLA RAILWAY STATION,LAXMI NARAYAN TEMPLE,11:00 AM,5:00 PM,4 KM,20 MINS,,7,INR 1500,ENTERTAINMENT,5
SARAI ROHILLA RAILWAY STATION,AJMERI GATE,11:00 AM,5:00 PM,4 KM,20 MINS,,7,INR 3000,ENTERTAINMENT,4
SARAI ROHILLA RAILWAY STATION,ART HALL,11:00 AM,7:00 PM,4 KM,20 MINS,,7,INR 0,ENTERTAINMENT,5
SARAI ROHILLA RAILWAY STATION,NERO BAR,11:00 AM,7:00 PM,6 KM,50 MINS,,7,INR 4000,FUN,4
SARAI ROHILLA RAILWAY STATION,ADVENTURE ISLAND,11:00 AM,7:00 AM,10 KM,80 MINS,,7,INR 3000,FUN,5
SARAI ROHILLA RAILWAY STATION,PALIKA BAZAR,11:00 AM,7:00 AM,5 KM,25 MINS,,7,INR 1000,FUN,4
SARAI ROHILLA RAILWAY STATION,DELHI METRO MUSEUM,6:00 AM,11:00 PM,5 KM,25 MINS,,7,INR 5000,ENTERTAINMENT,5
SARAI ROHILLA RAILWAY STATION,OM NARAYAN RESTAURANT,7:00 AM,11:00 PM,3 KM,15 MINS,,7,INR 400,FOOD,4
SARAI ROHILLA RAILWAY STATION,RAJASTHANI AAPNO DHABA,10:00 AM,10:00 PM,3 KM,15 MINS,,7,INR 500,FOOD,5
SARAI ROHILLA RAILWAY STATION,BABY DRAGON,11:00 AM,1:00 AM,5 KM,25 MINS,,7,INR 3000,FUN,4
SARAI ROHILLA RAILWAY STATION,HOT CHILLI VEG AND NON-VEG,12:00 AM,11:59 PM,3 KM,15 MINS,,7,INR 200,FOOD,5
SARAI ROHILLA RAILWAY STATION,DATING INDIA,12:00 AM,11:59 PM,3 KM,15 MINS,,7,INR  2000,FUN,4
SARAI ROHILLA RAILWAY STATION,M BAR AND LOUNGE,12:00 PM,1:00 AM,3 KM,15 MINS,,7,INR 2000,FUN,5
SARAI ROHILLA RAILWAY STATION,MR.FOODIE,12:00 PM,10:00 PM,3 KM,15 MINS,,7,INR 500,FOOD,4
